"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"23",572,71,22,7,8,4,3,1,3,1,1,0,0,0,0,0,1,0,0,2,0,0,0
"24",568,80,25,12,7,6,1,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0
"25",583,78,14,16,8,3,3,1,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0
"26",565,79,22,8,6,3,4,2,1,0,1,2,0,1,1,0,0,0,0,1,0,0,0
"27",563,78,18,14,5,5,3,1,1,3,0,0,0,0,0,1,1,0,0,0,1,0,0
"28",571,79,16,9,7,7,1,3,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0
"29",568,85,19,10,6,4,2,2,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0
"30",566,75,21,11,5,3,6,2,2,0,0,0,1,1,0,0,1,0,0,1,0,0,0
"31",569,81,14,17,2,7,2,3,1,0,2,0,2,0,0,0,0,1,0,0,0,0,0
"32",568,85,26,7,6,4,5,0,1,2,0,1,0,1,0,0,0,1,0,0,0,0,0
"33",579,81,19,13,5,4,1,2,2,0,0,1,0,1,0,0,0,1,0,0,0,1,0
"34",562,84,20,12,9,4,2,3,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0
"35",567,77,27,8,5,2,2,3,1,1,1,1,0,0,0,0,0,2,1,0,0,0,0
"36",567,73,15,11,11,3,2,4,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0
"37",548,85,21,15,6,3,4,1,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0
"38",563,83,22,8,8,4,1,4,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0
"39",553,85,18,15,7,3,4,4,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
"40",564,69,21,13,6,4,4,2,3,0,1,0,1,0,0,0,0,1,0,0,0,1,0
"41",587,82,20,9,6,4,2,2,1,0,2,1,0,0,1,0,1,0,0,0,0,0,0
"42",560,87,21,9,5,3,3,3,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0
"43",564,81,19,12,7,0,6,2,2,1,0,0,0,0,0,0,1,1,1,0,0,0,0
"44",581,74,23,9,5,4,2,3,2,1,1,0,0,1,1,0,1,0,0,0,0,0,0
"45",567,81,19,11,7,3,3,4,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0
"46",569,79,24,8,4,2,4,2,3,0,2,1,0,0,0,0,1,0,0,0,1,0,0
"47",580,81,20,15,2,2,2,1,2,1,0,2,0,0,1,1,1,0,0,0,0,0,0
"48",564,82,23,11,3,3,1,4,2,1,1,0,0,0,0,0,0,3,0,0,0,0,0
"49",569,85,23,6,2,5,4,2,2,0,0,2,0,1,0,1,0,1,0,0,0,0,0
"50",560,75,27,11,6,4,3,3,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0
"51",562,79,19,10,8,5,1,4,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0
"52",569,76,24,13,3,3,3,3,0,1,0,1,2,0,0,1,0,0,1,0,0,0,0
"53",582,77,13,13,6,6,2,2,1,0,2,0,0,0,0,1,1,0,1,0,0,0,0
"54",594,67,22,11,6,6,3,2,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0
"55",580,75,20,14,2,6,4,4,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"56",569,75,25,12,3,3,6,2,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0
"57",565,84,18,10,6,5,4,3,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0
"58",568,71,21,14,5,3,3,1,1,3,1,0,0,0,0,0,1,0,2,0,0,0,0
"59",572,85,15,12,9,3,3,0,2,1,1,0,0,0,2,0,0,1,0,0,0,0,0
"60",556,75,28,13,2,5,2,3,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0
"61",598,74,20,9,5,5,3,2,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0
"62",566,74,21,12,7,3,3,0,2,2,0,1,0,0,0,1,0,0,1,0,0,1,0
"63",591,71,22,8,7,3,4,3,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0
"64",582,77,19,10,5,7,2,1,1,0,2,0,0,0,0,0,1,2,0,0,0,0,0
"65",570,76,20,6,8,1,4,4,1,2,0,1,0,0,0,1,1,0,0,1,0,0,0
"66",577,79,22,10,4,4,6,1,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0
"67",560,92,19,11,7,4,3,1,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0
"68",566,88,17,11,5,2,6,2,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0
"69",564,77,21,10,8,2,5,1,2,1,0,1,0,0,0,2,0,1,0,0,0,0,0
"70",575,79,23,10,7,3,5,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0
"71",570,77,18,9,11,3,3,1,1,2,0,1,0,1,0,1,0,0,1,0,0,0,0
"72",561,66,25,13,8,3,2,2,3,0,2,0,0,1,1,0,0,0,0,1,0,0,0
"73",574,71,23,13,5,5,3,2,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0
"74",560,85,20,10,7,6,4,0,2,0,1,0,0,0,1,1,1,0,0,0,0,0,0
"75",572,75,26,5,7,6,1,3,2,0,1,0,0,0,0,1,0,1,0,0,1,0,0
"76",553,81,20,15,8,1,5,2,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0
"77",548,79,20,13,6,3,2,4,0,2,2,0,0,0,1,0,1,0,0,1,0,0,0
"78",577,81,23,11,2,4,3,2,0,1,2,0,0,0,0,1,1,1,0,0,0,0,0
"79",562,78,20,14,8,1,7,2,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
"80",570,81,24,9,5,5,2,2,2,0,0,1,0,0,0,1,1,1,0,0,0,0,0
"81",564,79,19,16,4,4,4,1,0,1,2,0,0,0,0,1,1,1,0,0,0,0,0
"82",572,81,24,8,7,1,2,3,1,1,1,1,0,0,1,2,0,0,0,0,0,0,0
"83",568,84,19,9,4,5,2,1,2,1,2,0,0,0,1,0,0,1,0,0,0,1,0
"84",573,73,19,10,8,1,3,3,0,0,3,1,0,0,0,1,1,0,0,0,1,0,0
"85",546,82,18,11,6,5,4,2,2,0,0,2,0,0,0,1,1,0,1,0,0,0,0
"86",576,80,15,13,5,5,2,2,0,2,0,1,0,0,0,0,0,1,2,0,0,0,0
"87",583,76,21,8,7,1,5,1,1,3,1,0,0,0,0,0,0,0,0,0,2,0,0
"88",573,83,18,13,7,3,2,3,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0
"89",552,80,15,19,6,0,3,1,4,1,1,1,2,0,0,0,0,0,1,0,0,0,0
"90",564,81,21,13,7,0,6,2,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0
"91",564,82,22,11,3,3,5,6,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0
"92",563,80,18,10,6,4,4,3,0,2,0,1,0,0,1,0,1,0,1,0,0,0,0
"93",578,78,21,9,6,6,1,2,1,0,2,0,0,0,0,1,1,0,0,1,0,0,0
"94",565,80,17,13,9,5,1,2,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0
"95",568,83,20,9,5,4,2,3,2,2,0,0,0,0,0,1,1,1,0,0,0,0,0
"96",591,79,18,13,7,5,2,2,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
"97",556,77,18,12,6,2,2,3,2,0,1,1,0,1,0,0,0,1,1,0,0,1,0
"98",572,75,23,11,7,3,4,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0
"99",560,82,30,10,2,4,3,2,0,1,2,0,0,1,0,0,1,1,0,0,0,0,0
"100",566,76,25,9,6,2,8,2,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
