"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"56",345,26,12,4,5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"57",335,37,13,5,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",342,41,10,1,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"59",352,34,9,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",345,38,14,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",343,32,13,5,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"62",327,37,16,2,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",335,36,14,1,4,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",323,37,12,6,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"65",340,38,9,4,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"66",370,29,8,3,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"67",350,33,7,6,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",335,33,13,8,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",353,31,11,8,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",345,31,10,2,2,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"71",338,37,14,5,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",331,40,14,2,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",351,35,8,2,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",353,25,11,5,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",355,31,11,4,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"76",336,31,14,6,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",348,42,5,6,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"78",328,46,8,5,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"79",348,35,12,2,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",349,34,10,2,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",357,37,3,4,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",355,35,10,2,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"83",342,39,12,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",352,34,8,9,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85",343,33,10,5,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",327,42,8,6,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",342,39,13,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"88",357,32,9,4,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89",344,50,9,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"90",354,31,11,1,2,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"91",338,41,9,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",348,33,13,4,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93",356,28,8,5,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",353,44,8,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95",353,26,10,5,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",366,39,3,5,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",337,31,10,5,2,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"98",352,30,11,5,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99",351,33,11,5,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"100",325,33,11,4,3,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
